"filename", "language", "Dart", "Markdown", "comment", "blank", "total"
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\screens\Training\training_three.dart", "Dart", 282, 0, 0, 23, 305
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\screens\Training\training_two.dart", "Dart", 159, 0, 0, 4, 163
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\screens\home_page.dart", "Dart", 37, 0, 0, 3, 40
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\screens\splash_screen.dart", "Dart", 54, 0, 0, 6, 60
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\services\auth_firebase.dart", "Dart", 105, 0, 0, 10, 115
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\services\functions_firebase.dart", "Dart", 12, 0, 0, 2, 14
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\services\ml_firebase.dart", "Dart", 70, 0, 0, 9, 79
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\services\training_firebase.dart", "Dart", 258, 0, 0, 22, 280
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\services\user_firebase.dart", "Dart", 124, 0, 0, 11, 135
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\widgets\Training\training-date-card.dart", "Dart", 39, 0, 0, 2, 41
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\widgets\Training\training-exercise-card.dart", "Dart", 44, 0, 0, 2, 46
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\widgets\Training\training-muscle-card.dart", "Dart", 41, 0, 0, 2, 43
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\widgets\Training\training-sets-card.dart", "Dart", 49, 0, 0, 2, 51
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\widgets\body.dart", "Dart", 283, 0, 0, 3, 286
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\widgets\drawer.dart", "Dart", 98, 0, 0, 3, 101
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\widgets\floating_action.dart", "Dart", 20, 0, 0, 2, 22
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\widgets\home_page\home_profil.dart", "Dart", 65, 0, 0, 2, 67
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\widgets\home_page\home_training.dart", "Dart", 85, 0, 0, 3, 88
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\widgets\home_page\home_trainingHistory.dart", "Dart", 69, 0, 0, 2, 71
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\widgets\home_page\home_welcome.dart", "Dart", 57, 0, 0, 3, 60
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\widgets\muscle_cart.dart", "Dart", 49, 0, 0, 2, 51
"c:\Users\kazmk\Desktop\Smart-Predictive-Analysis-for-Muscular-Activity\Smart-Predictive-Analysis-for-Muscular-Activity\mobileapp\lib\widgets\termsAndPolicy.dart", "Dart", 47, 0, 0, 3, 50
"Total", "-", 5988, 56, 3, 355, 6402
